Empresa o Servicio,Licencias Nuevas,Renovacion,Cambio de Direccion ,Cambio de categoria,Periodo,Ano
Bares y Restaurantes,17,4,0,0,Abril-Junio,2024
Turismo Aventura,1,6,1,0,Abril-Junio,2024
Sala de Masajes,0,0,0,0,Abril-Junio,2024
Agencia de Viajes,19,9,4,0,Julio-Septiembre,2024
Gift Shop,1,1,0,0,Julio-Septiembre,2024
Hoteles,2,46,2,0,Julio-Septiembre,2024
Bares y Restaurantes,18,18,3,0,Julio-Septiembre,2024
Turismo Aventura,6,15,0,0,Julio-Septiembre,2024
Sala de Masajes,0,1,0,0,Julio-Septiembre,2024
Agencia de Viajes,23,22,5,1,Octubre-Diciembre,2024
Gift Shop,1,7,0,0,Octubre-Diciembre,2024
Hoteles,2,35,1,0,Octubre-Diciembre,2024
Bares y Restaurantes,30,36,0,0,Octubre-Diciembre,2024
Turismo Aventura,12,12,3,0,Octubre-Diciembre,2024
Sala de Masajes,1,0,1,0,Octubre-Diciembre,2024
Agencia de Viajes,17,13,6,0,Enero-Marzo,2025
Gift Shop,12,17,1,0,Enero-Marzo,2025
Hoteles,5,40,0,0,Enero-Marzo,2025
Bares y Restaurantes,29,30,0,0,Enero-Marzo,2025
Turismo Aventura,3,8,0,0,Enero-Marzo,2025
Sala de Masajes,0,0,0,0,Enero-Marzo,2025
Agencia de Viajes,20,9,3,1,Abril-Junio,2025
Gift Shop,1,6,1,0,Abril-Junio,2025
Hoteles,5,26,0,1,Abril-Junio,2025
Bares y Restaurantes,18,23,0,0,Abril-Junio,2025
Turismo Aventura,9,15,1,0,Abril-Junio,2025
Sala de Masajes,2,4,0,0,Abril-Junio,2025
Agencia de Viajes,26,9,4,0,Julio-Septiembre,2025
Gift Shop,5,4,0,0,Julio-Septiembre,2025
Hoteles,3,22,0,0,Julio-Septiembre,2025
Bares y Restaurantes,24,8,0,0,Julio-Septiembre,2025
Turismo Aventura,10,22,5,0,Julio-Septiembre,2025
Sala de Masajes,0,2,0,0,Julio-Septiembre,2025
Agencia de Viajes,15,11,8,0,Octubre-Diciembre,2025
Gift Shop,4,6,1,0,Octubre-Diciembre,2025
Hoteles,6,19,0,0,Octubre-Diciembre,2025
Bares y Restaurantes,9,16,0,0,Octubre-Diciembre,2025
Turismo Aventura,8,20,0,0,Octubre-Diciembre,2025
Sala de Masajes,0,0,0,0,Octubre-Diciembre,2025
