,,,,,,,,,
Licencias Emitidas 2022-2025,,,,,,,,,
Fecha de Emisión,Mes,Año,Provincia,Municipio,Barrio/Sector,Número de Licencia,Tipologia,Metros Cuadrados,Inversión Total
02/02/2022,FEBRERO,2022,MONSEÑOR NOUEL,BONAO,RESIDENCIAL DON MARIO,00148 RCS,APARTAMENTOS,701.16,43191456
02/02/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,URBANIZACIÓN AMANECER,22786 RN,APARTAMENTOS,477.56,29417696
02/02/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,ALMA ROSA I,93783,APARTAMENTOS,11940,735504000
02/02/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO OESTE,LA ROSA,93923,APARTAMENTOS,683.69,42115304
02/03/2022,FEBRERO,2022,BARAHONA,BARAHONA,CENTRO DE LA CIUDAD,90643-R,HOSPEDAJE,0,0
02/03/2022,FEBRERO,2022,LA VEGA,LA VEGA,RESIDENCIAL ARMIDA,00159 RCS,APARTAMENTOS,489.62,30160592
02/03/2022,FEBRERO,2022,MONSEÑOR NOUEL,BONAO,SABANA DEL PUERTO,00150 RCS,HOSPEDAJE,2468.95,152087320
02/03/2022,FEBRERO,2022,SÁNCHEZ RAMÍREZ,COTUÍ,VISTA DEL VALLE,00161 RCS,VIVIENDAS,387.35,23860760
02/03/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,LAS CARMELITAS,22787 RN,VIVIENDAS,1119.09,68935944
02/03/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,LOS SAMANES,22788 RN,VIVIENDAS,353.62,21782992
02/03/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,ENSANCHE OZAMA,93925,APARTAMENTOS,947.15,58344440
02/03/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO NORTE,PASEO DEL PARQUE O VILLA MARIA,93926,APARTAMENTOS,2079.74,128111984
02/03/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO OESTE,MIRADOR DEL OESTE,93805,APARTAMENTOS,361.3,22256080
02/03/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO OESTE,VILLA AURA,93924,APARTAMENTOS,1197.81,73785096
02/04/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,BELLA VISTA,92306-C,APARTAMENTOS,0,0
02/04/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS RÍOS,93930,COMERCIAL Y OFICINAS,1766.19,108797304
02/04/2022,FEBRERO,2022,SÁNCHEZ RAMÍREZ,COTUÍ,LOS PINOS,00163 RCS,APARTAMENTOS,1509.36,92976576
